Pressure (atm),Temperature (K),W1_Energy_1_P1->P2,W1_Energy_1_P1->W1
10.0,520.0,0.0,0.0
10.0,530.0,0.0,0.0
10.0,540.0,0.0,0.0
10.0,550.0,0.0,0.0
10.0,560.0,0.0,0.0
10.0,570.0,0.0,0.0
10.0,580.0,0.0,0.0
10.0,590.0,0.0,0.0
10.0,600.0,0.0,0.0
10.0,610.0,0.0,0.0
10.0,620.0,0.0,0.0
10.0,630.0,0.0,0.0
10.0,640.0,0.0,0.0
10.0,650.0,0.0,0.0
10.0,660.0,0.0,0.0
10.0,670.0,0.0,0.0
10.0,680.0,0.0,0.0
10.0,690.0,0.0,0.0
10.0,700.0,0.0,0.0
10.0,800.0,0.0,0.0
10.0,900.0,0.0,0.0
10.0,1000.0,0.0,0.0
10.0,1100.0,0.0,0.0
10.0,1200.0,0.0,0.0
10.0,1300.0,0.0,0.0
10.0,1400.0,0.0,0.0
10.0,1500.0,0.0,0.0
10.0,1600.0,0.0,0.0
10.0,1700.0,0.0,0.0
10.0,1800.0,0.0,0.0
10.0,1900.0,0.0,0.0
10.0,2000.0,0.0,0.0
10.0,2100.0,0.0,0.0
10.0,2200.0,0.0,0.0
10.0,2300.0,0.0,0.0
10.0,2400.0,0.0,0.0
10.0,2500.0,0.0,0.0
10.0,2600.0,0.0,0.0
10.0,2700.0,0.0,0.0
10.0,2800.0,0.0,0.0
10.0,2900.0,0.0,0.0
10.0,3000.0,0.0,0.0
10.0,3100.0,0.0,0.0
10.0,3200.0,0.0,0.0
10.0,3300.0,0.0,0.0
10.0,3400.0,0.0,0.0
10.0,3500.0,0.0,0.0
10.0,3600.0,0.0,0.0
10.0,3700.0,0.0,0.0
10.0,3800.0,0.0,0.0
10.0,3900.0,0.0,0.0
10.0,4000.0,0.0,0.0
